Subject_No;NDVI_500_mean;LUgreen_500m;DGURBA_CLA;compstudie2;Airport;AirportName;Year;Gender;Age;AgeGroups;Annoyance_road;HAv_road;Road_LDEN;Annoyance_rail;HAv_rail;Rail_LDEN;Annoyance_air;HAv_air;Air_LDEN
129;0.435;0.297;2;3.3;4;STR;2013;2;28;1830;2;0;43.4;1;0;35.0;2;0;47.0
130;0.539;0.492;2;3.3;4;STR;2013;2;53;5070;1;0;50.2;1;0;35.0;1;0;39.1
131;0.523;0.449;2;3.3;4;STR;2013;1;81;7000;4;1;52.0;1;0;35.0;4;1;39.0
132;0.329;0.043;2;3.3;4;STR;2013;1;47;3050;1;0;46.0;1;0;35.0;3;0;47.9
133;0.477;0.325;2;3.3;4;STR;2013;2;69;5070;3;0;45.1;1;0;35.0;2;0;46.8
134;0.385;0.350;2;3.3;4;STR;2013;2;62;5070;1;0;44.3;1;0;46.0;1;0;39.0
135;0.469;0.328;2;3.3;4;STR;2013;1;62;5070;3;0;41.0;1;0;35.0;3;0;47.3
136;0.327;0.032;2;3.3;4;STR;2013;1;59;5070;2;0;51.7;2;0;35.0;2;0;48.5
137;0.380;0.137;2;3.3;4;STR;2013;1;54;5070;3;0;57.4;1;0;35.0;5;1;49.1
138;0.354;0.270;2;3.3;4;STR;2013;1;64;5070;1;0;50.6;3;0;59.4;3;0;42.6
139;0.540;0.629;2;3.3;4;STR;2013;1;48;3050;2;0;45.0;1;0;35.0;3;0;47.1
140;0.503;0.331;2;3.3;4;STR;2013;1;71;7000;2;0;45.1;1;0;35.0;3;0;48.3
141;0.436;0.412;2;3.3;4;STR;2013;1;65;5070;2;0;48.1;2;0;35.0;5;1;49.5
142;0.473;0.289;2;3.3;4;STR;2013;1;56;5070;1;0;65.2;1;0;35.0;1;0;48.2
143;0.447;0.212;2;3.3;4;STR;2013;2;39;3050;3;0;65.6;1;0;35.0;1;0;48.4
144;0.523;0.359;2;3.3;4;STR;2013;2;48;3050;1;0;42.8;1;0;35.0;4;1;48.6
145;0.384;0.320;2;3.3;4;STR;2013;2;48;3050;3;0;47.4;3;0;50.4;2;0;41.9
146;0.528;0.367;2;3.3;4;STR;2013;2;84;7000;1;0;38.5;1;0;35.0;1;0;48.3
147;0.400;0.073;2;3.3;4;STR;2013;2;46;3050;4;1;63.2;1;0;35.0;3;0;49.3
148;0.535;0.404;2;3.3;4;STR;2013;1;21;1830;1;0;42.2;1;0;35.0;1;0;48.0
149;0.458;0.228;2;3.3;4;STR;2013;1;72;7000;1;0;44.3;1;0;35.0;4;1;48.8
150;0.359;0.185;2;3.3;4;STR;2013;2;66;5070;1;0;59.5;1;0;35.0;1;0;49.6
151;0.477;0.287;2;3.3;4;STR;2013;1;61;5070;1;0;43.1;1;0;35.0;3;0;48.8
152;0.573;0.688;2;3.3;4;STR;2013;2;52;5070;3;0;57.7;1;0;36.1;1;0;38.4
153;0.590;0.503;2;3.3;4;STR;2013;1;85;7000;1;0;38.4;1;0;35.0;4;1;48.6
154;0.628;0.991;2;3.3;4;STR;2013;2;65;5070;1;0;42.7;1;0;35.0;2;0;38.7
155;0.455;0.293;2;3.3;4;STR;2013;1;72;7000;3;0;52.8;1;0;47.6;4;1;39.2
156;0.427;0.125;2;3.3;4;STR;2013;1;69;5070;2;0;44.1;2;0;35.0;5;1;49.6
157;0.426;0.486;2;3.3;4;STR;2013;2;46;3050;1;0;48.9;1;0;53.5;1;0;41.8
158;0.509;0.606;2;3.3;4;STR;2013;2;27;1830;2;0;52.3;1;0;35.0;2;0;39.0
159;0.489;0.592;2;3.3;4;STR;2013;1;82;7000;1;0;65.6;1;0;43.2;1;0;39.0
160;0.402;0.179;2;3.3;4;STR;2013;1;40;3050;2;0;49.0;2;0;35.0;2;0;49.9
161;0.500;0.587;2;3.3;4;STR;2013;2;63;5070;4;1;52.1;1;0;35.0;2;0;39.6
162;0.435;0.242;2;3.3;4;STR;2013;2;61;5070;1;0;45.7;1;0;35.0;2;0;50.0
163;0.474;0.294;2;3.3;4;STR;2013;2;59;5070;2;0;36.8;1;0;35.0;2;0;50.0
